data,hora,umidade_%
01/01/2000,00:02:47,71.00
01/01/2000,00:02:48,71.00
01/01/2000,00:02:50,71.00
01/01/2000,00:02:51,71.00
01/01/2000,00:02:52,71.00
01/01/2000,00:02:53,71.00
01/01/2000,00:02:54,71.00
01/01/2000,00:02:55,71.00
01/01/2000,00:02:56,71.00
01/01/2000,00:02:57,71.00
01/01/2000,00:02:58,71.00
01/01/2000,00:02:59,71.00
01/01/2000,00:03:00,71.00
01/01/2000,00:03:01,71.00
01/01/2000,00:03:02,71.00
01/01/2000,00:03:03,71.00
01/01/2000,00:03:04,71.00
01/01/2000,00:03:05,71.00
01/01/2000,00:03:06,71.00
01/01/2000,00:03:07,71.00
01/01/2000,00:03:08,71.00
01/01/2000,00:03:09,70.00
01/01/2000,00:03:10,71.00
01/01/2000,00:03:11,70.00
01/01/2000,00:03:12,70.00
01/01/2000,00:03:13,70.00
01/01/2000,00:03:14,70.00
01/01/2000,00:03:15,70.00
01/01/2000,00:03:16,70.00
01/01/2000,00:03:17,70.00
01/01/2000,00:03:18,70.00
01/01/2000,00:03:19,70.00
01/01/2000,00:03:20,70.00
01/01/2000,00:03:21,70.00
01/01/2000,00:03:22,70.00
01/01/2000,00:03:23,70.00
01/01/2000,00:03:24,70.00
01/01/2000,00:03:25,70.00
01/01/2000,00:03:26,70.00
01/01/2000,00:03:27,70.00
01/01/2000,00:03:28,70.00
01/01/2000,00:03:29,70.00
01/01/2000,00:03:30,70.00
01/01/2000,00:03:31,70.00
01/01/2000,00:03:32,70.00
01/01/2000,00:03:33,70.00
01/01/2000,00:03:34,70.00
01/01/2000,00:03:35,70.00
01/01/2000,00:03:36,70.00
01/01/2000,00:03:37,70.00
01/01/2000,00:03:38,70.00
01/01/2000,00:03:39,70.00
01/01/2000,00:03:40,70.00
01/01/2000,00:03:41,70.00
01/01/2000,00:03:42,70.00
01/01/2000,00:03:43,70.00
01/01/2000,00:03:44,70.00
01/01/2000,00:03:45,70.00
01/01/2000,00:03:46,70.00
01/01/2000,00:03:47,70.00
01/01/2000,00:03:48,70.00
01/01/2000,00:03:49,70.00
01/01/2000,00:03:50,70.00
01/01/2000,00:03:51,70.00
01/01/2000,00:03:52,70.00
01/01/2000,00:03:53,70.00
01/01/2000,00:03:54,70.00
01/01/2000,00:03:55,69.00
01/01/2000,00:03:56,70.00
01/01/2000,00:03:57,69.00
01/01/2000,00:03:58,69.00
01/01/2000,00:03:59,69.00
01/01/2000,00:04:00,69.00
01/01/2000,00:04:01,69.00
01/01/2000,00:04:02,69.00
01/01/2000,00:04:03,69.00
01/01/2000,00:04:04,69.00
01/01/2000,00:04:05,69.00
01/01/2000,00:04:06,69.00
01/01/2000,00:04:07,69.00
01/01/2000,00:04:08,69.00
01/01/2000,00:04:09,69.00
01/01/2000,00:04:10,69.00
01/01/2000,00:04:11,69.00
01/01/2000,00:04:12,69.00
01/01/2000,00:04:13,69.00
01/01/2000,00:04:14,69.00
01/01/2000,00:04:15,69.00
01/01/2000,00:04:16,69.00
01/01/2000,00:04:17,69.00
01/01/2000,00:04:18,69.00
01/01/2000,00:04:19,69.00
01/01/2000,00:04:20,69.00
01/01/2000,00:04:21,69.00
01/01/2000,00:04:22,69.00
01/01/2000,00:04:23,69.00
01/01/2000,00:04:24,69.00
01/01/2000,00:04:25,69.00
01/01/2000,00:04:26,69.00
01/01/2000,00:04:27,69.00
01/01/2000,00:04:28,69.00
01/01/2000,00:04:29,69.00
01/01/2000,00:04:30,69.00
01/01/2000,00:04:31,69.00
01/01/2000,00:04:32,69.00
01/01/2000,00:04:33,69.00
01/01/2000,00:04:34,69.00
01/01/2000,00:04:35,69.00
01/01/2000,00:04:36,69.00
01/01/2000,00:04:37,69.00
01/01/2000,00:04:38,69.00
01/01/2000,00:04:39,69.00
01/01/2000,00:04:40,68.00
01/01/2000,00:04:41,69.00
01/01/2000,00:04:42,68.00
01/01/2000,00:04:43,68.00
01/01/2000,00:04:44,68.00
01/01/2000,00:04:45,68.00
01/01/2000,00:04:46,68.00
01/01/2000,00:04:47,68.00
01/01/2000,00:04:48,68.00
01/01/2000,00:04:49,68.00
01/01/2000,00:04:50,68.00
01/01/2000,00:04:51,68.00
01/01/2000,00:04:52,68.00
01/01/2000,00:04:53,68.00
01/01/2000,00:04:54,68.00
01/01/2000,00:04:55,68.00
01/01/2000,00:04:56,68.00
01/01/2000,00:04:57,68.00
01/01/2000,00:04:58,68.00
01/01/2000,00:04:59,68.00
01/01/2000,00:05:00,68.00
01/01/2000,00:05:01,68.00
01/01/2000,00:05:02,68.00
01/01/2000,00:05:03,68.00
01/01/2000,00:05:04,68.00
01/01/2000,00:05:05,68.00
01/01/2000,00:05:06,68.00
01/01/2000,00:05:07,68.00
01/01/2000,00:05:08,68.00
01/01/2000,00:05:09,68.00
01/01/2000,00:05:10,68.00
01/01/2000,00:05:11,68.00
01/01/2000,00:05:12,68.00
01/01/2000,00:05:13,68.00
01/01/2000,00:05:14,68.00
01/01/2000,00:05:15,68.00
01/01/2000,00:05:16,68.00
01/01/2000,00:05:17,68.00
01/01/2000,00:05:18,68.00
01/01/2000,00:05:19,68.00
01/01/2000,00:05:20,68.00
01/01/2000,00:05:21,68.00
01/01/2000,00:05:22,68.00
01/01/2000,00:05:23,68.00
01/01/2000,00:05:24,68.00
01/01/2000,00:05:25,68.00
01/01/2000,00:05:26,67.00
01/01/2000,00:05:27,68.00
01/01/2000,00:05:28,68.00
01/01/2000,00:05:29,68.00
01/01/2000,00:05:30,68.00
01/01/2000,00:05:31,68.00
01/01/2000,00:05:32,68.00
01/01/2000,00:05:33,67.00
01/01/2000,00:05:34,67.00
01/01/2000,00:05:35,67.00
01/01/2000,00:05:36,67.00
01/01/2000,00:05:37,67.00
01/01/2000,00:05:38,67.00
01/01/2000,00:05:39,67.00
01/01/2000,00:05:40,67.00
01/01/2000,00:05:41,67.00
01/01/2000,00:05:42,67.00
01/01/2000,00:05:43,67.00
01/01/2000,00:05:44,67.00
01/01/2000,00:05:45,67.00
01/01/2000,00:05:46,67.00
01/01/2000,00:05:47,67.00
01/01/2000,00:05:48,67.00
01/01/2000,00:05:49,67.00
01/01/2000,00:05:50,67.00
01/01/2000,00:05:51,67.00
01/01/2000,00:05:52,67.00
01/01/2000,00:05:53,67.00
01/01/2000,00:05:54,67.00
01/01/2000,00:05:55,67.00
01/01/2000,00:05:56,67.00
01/01/2000,00:05:57,67.00
01/01/2000,00:05:58,67.00
01/01/2000,00:05:59,67.00
01/01/2000,00:06:00,67.00
01/01/2000,00:06:01,67.00
01/01/2000,00:06:02,67.00
01/01/2000,00:06:03,67.00
01/01/2000,00:06:04,67.00
01/01/2000,00:06:05,67.00
01/01/2000,00:06:06,67.00
01/01/2000,00:06:07,67.00
01/01/2000,00:06:08,67.00
01/01/2000,00:06:09,67.00
01/01/2000,00:06:10,67.00
01/01/2000,00:06:11,67.00
01/01/2000,00:06:12,67.00
01/01/2000,00:06:13,67.00
01/01/2000,00:06:14,67.00
01/01/2000,00:06:15,67.00
01/01/2000,00:06:16,67.00
01/01/2000,00:06:17,67.00
01/01/2000,00:06:18,67.00
01/01/2000,00:06:19,67.00
01/01/2000,00:06:20,67.00
01/01/2000,00:06:21,67.00
01/01/2000,00:06:22,67.00
01/01/2000,00:06:23,67.00
01/01/2000,00:06:24,67.00
01/01/2000,00:06:25,67.00
01/01/2000,00:06:26,67.00
01/01/2000,00:06:27,67.00
01/01/2000,00:06:28,67.00
01/01/2000,00:06:29,67.00
01/01/2000,00:06:30,67.00
01/01/2000,00:06:31,67.00
01/01/2000,00:06:32,67.00
01/01/2000,00:06:33,66.00
01/01/2000,00:06:34,67.00
01/01/2000,00:06:35,66.00
01/01/2000,00:06:36,66.00
01/01/2000,00:06:37,67.00
01/01/2000,00:06:38,66.00
01/01/2000,00:06:39,66.00
01/01/2000,00:06:40,67.00
01/01/2000,00:06:41,66.00
01/01/2000,00:06:42,66.00
01/01/2000,00:06:43,66.00
01/01/2000,00:06:44,66.00
01/01/2000,00:06:45,66.00
01/01/2000,00:06:46,66.00
01/01/2000,00:06:47,66.00
01/01/2000,00:06:48,66.00
01/01/2000,00:06:49,66.00
01/01/2000,00:06:50,66.00
01/01/2000,00:06:51,66.00
01/01/2000,00:06:52,66.00
01/01/2000,00:06:53,66.00
01/01/2000,00:06:54,66.00
01/01/2000,00:06:55,66.00
01/01/2000,00:06:56,66.00
01/01/2000,00:06:57,66.00
01/01/2000,00:06:58,66.00
01/01/2000,00:06:59,66.00
01/01/2000,00:07:00,66.00
01/01/2000,00:07:01,66.00
01/01/2000,00:07:02,66.00
01/01/2000,00:07:03,66.00
01/01/2000,00:07:04,66.00
01/01/2000,00:07:05,66.00
01/01/2000,00:07:06,66.00
01/01/2000,00:07:07,66.00
01/01/2000,00:07:08,66.00
01/01/2000,00:07:09,66.00
01/01/2000,00:07:10,66.00
01/01/2000,00:07:11,66.00
01/01/2000,00:07:12,66.00
01/01/2000,00:07:13,66.00
01/01/2000,00:07:14,66.00
01/01/2000,00:07:15,66.00
01/01/2000,00:07:16,66.00
01/01/2000,00:07:17,66.00
01/01/2000,00:07:18,66.00
01/01/2000,00:07:19,66.00
01/01/2000,00:07:20,66.00
01/01/2000,00:07:21,66.00
01/01/2000,00:07:22,66.00
01/01/2000,00:07:23,66.00
01/01/2000,00:07:24,66.00
01/01/2000,00:07:25,66.00
01/01/2000,00:07:26,66.00
01/01/2000,00:07:27,66.00
01/01/2000,00:07:28,66.00
01/01/2000,00:07:29,66.00
01/01/2000,00:07:30,66.00
01/01/2000,00:07:31,66.00
01/01/2000,00:07:33,66.00
01/01/2000,00:07:34,66.00
01/01/2000,00:07:35,66.00
01/01/2000,00:07:36,66.00
01/01/2000,00:07:37,66.00
01/01/2000,00:07:38,66.00
01/01/2000,00:07:39,66.00
01/01/2000,00:07:40,66.00
01/01/2000,00:07:41,66.00
01/01/2000,00:07:42,66.00
01/01/2000,00:07:43,66.00
01/01/2000,00:07:44,66.00
01/01/2000,00:07:45,66.00
01/01/2000,00:07:46,66.00
01/01/2000,00:07:47,66.00
01/01/2000,00:07:48,66.00
01/01/2000,00:07:49,66.00
01/01/2000,00:07:50,66.00
01/01/2000,00:07:51,66.00
01/01/2000,00:07:52,66.00
01/01/2000,00:07:53,66.00
01/01/2000,00:07:54,66.00
01/01/2000,00:07:55,66.00
01/01/2000,00:07:56,66.00
01/01/2000,00:07:57,66.00
01/01/2000,00:07:58,66.00
01/01/2000,00:07:59,66.00
01/01/2000,00:08:00,65.00
01/01/2000,00:08:01,65.00
01/01/2000,00:08:02,66.00
01/01/2000,00:08:03,66.00
01/01/2000,00:08:04,66.00
01/01/2000,00:08:05,66.00
01/01/2000,00:08:06,66.00
01/01/2000,00:08:07,66.00
01/01/2000,00:08:08,66.00
01/01/2000,00:08:09,65.00
01/01/2000,00:08:10,65.00
01/01/2000,00:08:11,65.00
01/01/2000,00:08:12,65.00
01/01/2000,00:08:13,65.00
01/01/2000,00:08:14,65.00
01/01/2000,00:08:15,65.00
01/01/2000,00:08:16,65.00
01/01/2000,00:08:17,65.00
01/01/2000,00:08:18,65.00
01/01/2000,00:08:19,65.00
01/01/2000,00:08:20,65.00
01/01/2000,00:08:21,65.00
01/01/2000,00:08:22,65.00
01/01/2000,00:08:23,65.00
01/01/2000,00:08:24,65.00
01/01/2000,00:08:25,65.00
01/01/2000,00:08:26,65.00
01/01/2000,00:08:27,65.00
01/01/2000,00:08:28,65.00
01/01/2000,00:08:29,65.00
01/01/2000,00:08:30,65.00
01/01/2000,00:08:31,65.00
01/01/2000,00:08:32,65.00
01/01/2000,00:08:33,65.00
01/01/2000,00:08:34,65.00
01/01/2000,00:08:35,65.00
01/01/2000,00:08:36,65.00
01/01/2000,00:08:37,65.00
01/01/2000,00:08:38,65.00
01/01/2000,00:08:39,65.00
01/01/2000,00:08:40,65.00
01/01/2000,00:08:41,65.00
01/01/2000,00:08:42,65.00
01/01/2000,00:08:43,65.00
01/01/2000,00:08:44,65.00
01/01/2000,00:08:45,65.00
01/01/2000,00:08:46,65.00
01/01/2000,00:08:47,65.00
01/01/2000,00:08:48,65.00
01/01/2000,00:08:49,65.00
01/01/2000,00:08:50,65.00
01/01/2000,00:08:51,65.00
01/01/2000,00:08:52,65.00
01/01/2000,00:08:53,65.00
01/01/2000,00:08:54,65.00
01/01/2000,00:08:55,65.00
01/01/2000,00:08:56,65.00
01/01/2000,00:08:57,65.00
01/01/2000,00:08:58,65.00
01/01/2000,00:08:59,65.00
01/01/2000,00:09:00,65.00
01/01/2000,00:09:01,65.00
01/01/2000,00:09:02,65.00
01/01/2000,00:09:03,65.00
01/01/2000,00:09:04,65.00
01/01/2000,00:09:05,65.00
01/01/2000,00:09:06,65.00
01/01/2000,00:09:07,65.00
01/01/2000,00:09:08,65.00
01/01/2000,00:09:09,65.00
01/01/2000,00:09:10,65.00
01/01/2000,00:09:11,65.00
01/01/2000,00:09:12,65.00
01/01/2000,00:09:13,65.00
01/01/2000,00:09:14,65.00
01/01/2000,00:09:15,65.00
01/01/2000,00:09:16,65.00
01/01/2000,00:09:17,65.00
01/01/2000,00:09:18,65.00
01/01/2000,00:09:19,65.00
01/01/2000,00:09:20,65.00
01/01/2000,00:09:21,65.00
01/01/2000,00:09:22,65.00
01/01/2000,00:09:23,65.00
01/01/2000,00:09:24,65.00
01/01/2000,00:09:25,65.00
01/01/2000,00:09:26,65.00
01/01/2000,00:09:27,65.00
01/01/2000,00:09:28,65.00
01/01/2000,00:09:29,65.00
01/01/2000,00:09:30,65.00
01/01/2000,00:09:31,65.00
01/01/2000,00:09:32,65.00
01/01/2000,00:09:33,65.00
01/01/2000,00:09:34,65.00
01/01/2000,00:09:35,65.00
01/01/2000,00:09:36,65.00
01/01/2000,00:09:37,65.00
01/01/2000,00:09:38,65.00
01/01/2000,00:09:39,65.00
01/01/2000,00:09:40,65.00
01/01/2000,00:09:41,65.00
01/01/2000,00:09:42,65.00
01/01/2000,00:09:43,65.00
01/01/2000,00:09:44,65.00
01/01/2000,00:09:45,65.00
01/01/2000,00:09:46,65.00
01/01/2000,00:09:47,65.00
01/01/2000,00:09:48,65.00
01/01/2000,00:09:49,65.00
01/01/2000,00:09:50,65.00
01/01/2000,00:09:51,65.00
01/01/2000,00:09:52,65.00
01/01/2000,00:09:53,65.00
01/01/2000,00:09:54,65.00
01/01/2000,00:09:55,65.00
01/01/2000,00:09:56,65.00
01/01/2000,00:09:57,65.00
01/01/2000,00:09:58,65.00
01/01/2000,00:09:59,65.00
01/01/2000,00:10:00,65.00
01/01/2000,00:10:01,65.00
01/01/2000,00:10:02,65.00
01/01/2000,00:10:03,65.00
01/01/2000,00:10:04,65.00
01/01/2000,00:10:05,65.00
01/01/2000,00:10:06,65.00
01/01/2000,00:10:07,65.00
01/01/2000,00:10:08,65.00
01/01/2000,00:10:09,65.00
01/01/2000,00:10:10,65.00
01/01/2000,00:10:11,65.00
01/01/2000,00:10:12,65.00
01/01/2000,00:10:13,65.00
01/01/2000,00:10:14,65.00
01/01/2000,00:10:15,65.00
01/01/2000,00:10:16,65.00
01/01/2000,00:10:17,65.00
01/01/2000,00:10:18,65.00
01/01/2000,00:10:19,65.00
01/01/2000,00:10:20,65.00
01/01/2000,00:10:21,65.00
01/01/2000,00:10:22,65.00
01/01/2000,00:10:23,65.00
01/01/2000,00:10:24,65.00
01/01/2000,00:10:25,65.00
01/01/2000,00:10:26,65.00
01/01/2000,00:10:27,65.00
01/01/2000,00:10:28,65.00
01/01/2000,00:10:29,65.00
01/01/2000,00:10:30,65.00
01/01/2000,00:10:31,65.00
01/01/2000,00:10:32,65.00
01/01/2000,00:10:33,64.00
01/01/2000,00:10:34,65.00
01/01/2000,00:10:35,65.00
01/01/2000,00:10:36,65.00
01/01/2000,00:10:37,65.00
01/01/2000,00:10:38,65.00
01/01/2000,00:10:39,64.00
01/01/2000,00:10:40,64.00
01/01/2000,00:10:41,64.00
01/01/2000,00:10:42,64.00
01/01/2000,00:10:43,65.00
01/01/2000,00:10:44,64.00
01/01/2000,00:10:45,64.00
01/01/2000,00:10:46,64.00
01/01/2000,00:10:47,65.00
01/01/2000,00:10:48,65.00
01/01/2000,00:10:49,65.00
01/01/2000,00:10:50,65.00
01/01/2000,00:10:51,64.00
01/01/2000,00:10:52,64.00
01/01/2000,00:10:53,65.00
01/01/2000,00:10:54,64.00
01/01/2000,00:10:55,64.00
01/01/2000,00:10:56,64.00
01/01/2000,00:10:57,64.00
01/01/2000,00:10:58,65.00
01/01/2000,00:10:59,65.00
01/01/2000,00:11:00,64.00
01/01/2000,00:11:01,65.00
01/01/2000,00:11:02,64.00
01/01/2000,00:11:03,64.00
01/01/2000,00:11:04,64.00
01/01/2000,00:11:05,64.00
01/01/2000,00:11:06,64.00
01/01/2000,00:11:07,64.00
01/01/2000,00:11:08,64.00
01/01/2000,00:11:09,64.00
01/01/2000,00:11:10,64.00
01/01/2000,00:11:11,64.00
01/01/2000,00:11:12,64.00
01/01/2000,00:11:13,64.00
01/01/2000,00:11:14,64.00
01/01/2000,00:11:15,64.00
01/01/2000,00:11:16,64.00
01/01/2000,00:11:17,64.00
01/01/2000,00:11:18,64.00
01/01/2000,00:11:19,64.00
01/01/2000,00:11:20,64.00
01/01/2000,00:11:21,64.00
01/01/2000,00:11:22,64.00
01/01/2000,00:11:23,64.00
01/01/2000,00:11:24,64.00
01/01/2000,00:11:25,64.00
01/01/2000,00:11:26,64.00
01/01/2000,00:11:27,64.00
01/01/2000,00:11:28,64.00
01/01/2000,00:11:29,64.00
01/01/2000,00:11:30,64.00
01/01/2000,00:11:31,64.00
01/01/2000,00:11:32,64.00
01/01/2000,00:11:33,64.00
01/01/2000,00:11:34,64.00
01/01/2000,00:11:35,64.00
01/01/2000,00:11:36,64.00
01/01/2000,00:11:37,64.00
01/01/2000,00:11:38,64.00
01/01/2000,00:11:39,64.00
01/01/2000,00:11:40,64.00
01/01/2000,00:11:41,64.00
01/01/2000,00:11:42,64.00
01/01/2000,00:11:43,64.00
01/01/2000,00:11:44,64.00
01/01/2000,00:11:45,64.00
01/01/2000,00:11:46,64.00
01/01/2000,00:11:47,64.00
01/01/2000,00:11:48,64.00
01/01/2000,00:11:49,64.00
01/01/2000,00:11:50,64.00
01/01/2000,00:11:51,64.00
01/01/2000,00:11:52,64.00
01/01/2000,00:11:53,64.00
01/01/2000,00:11:54,64.00
01/01/2000,00:11:55,64.00
01/01/2000,00:11:56,64.00
01/01/2000,00:11:57,64.00
01/01/2000,00:11:58,64.00
01/01/2000,00:11:59,64.00
01/01/2000,00:12:00,64.00
01/01/2000,00:12:01,64.00
01/01/2000,00:12:02,64.00
01/01/2000,00:12:04,64.00
01/01/2000,00:12:05,64.00
01/01/2000,00:12:06,64.00
01/01/2000,00:12:07,64.00
01/01/2000,00:12:08,64.00
01/01/2000,00:12:09,64.00
01/01/2000,00:12:10,64.00
01/01/2000,00:12:11,64.00
01/01/2000,00:12:12,64.00
01/01/2000,00:12:13,64.00
01/01/2000,00:12:14,64.00
01/01/2000,00:12:15,64.00
01/01/2000,00:12:16,64.00
01/01/2000,00:12:17,64.00
01/01/2000,00:12:18,64.00
01/01/2000,00:12:19,64.00
01/01/2000,00:12:20,64.00
01/01/2000,00:12:21,64.00
01/01/2000,00:12:22,64.00
01/01/2000,00:12:23,64.00
01/01/2000,00:12:24,64.00
01/01/2000,00:12:25,64.00
01/01/2000,00:12:26,64.00
01/01/2000,00:12:27,64.00
01/01/2000,00:12:28,64.00
01/01/2000,00:12:29,64.00
01/01/2000,00:12:30,64.00
01/01/2000,00:12:31,64.00
01/01/2000,00:12:32,64.00
01/01/2000,00:12:33,64.00
01/01/2000,00:12:34,64.00
01/01/2000,00:12:35,64.00
01/01/2000,00:12:36,64.00
01/01/2000,00:12:37,64.00
01/01/2000,00:12:38,64.00
01/01/2000,00:12:39,64.00
01/01/2000,00:12:40,64.00
01/01/2000,00:12:41,64.00
01/01/2000,00:12:42,64.00
01/01/2000,00:12:43,64.00
01/01/2000,00:12:44,64.00
01/01/2000,00:12:45,64.00
01/01/2000,00:12:46,64.00
01/01/2000,00:12:47,64.00
01/01/2000,00:12:48,64.00
01/01/2000,00:12:49,64.00
01/01/2000,00:12:50,64.00
01/01/2000,00:12:51,64.00
01/01/2000,00:12:52,64.00
01/01/2000,00:12:53,64.00
01/01/2000,00:12:54,64.00
01/01/2000,00:12:55,64.00
01/01/2000,00:12:56,64.00
01/01/2000,00:12:57,64.00
01/01/2000,00:12:58,64.00
01/01/2000,00:12:59,64.00
01/01/2000,00:13:00,64.00
01/01/2000,00:13:01,64.00
01/01/2000,00:13:02,64.00
01/01/2000,00:13:03,64.00
01/01/2000,00:13:04,64.00
01/01/2000,00:13:05,64.00
01/01/2000,00:13:06,64.00
01/01/2000,00:13:07,64.00
01/01/2000,00:13:08,64.00
01/01/2000,00:13:09,64.00
01/01/2000,00:13:10,64.00
01/01/2000,00:13:11,64.00
01/01/2000,00:13:12,64.00
01/01/2000,00:13:13,64.00
01/01/2000,00:13:14,64.00
01/01/2000,00:13:15,64.00
01/01/2000,00:13:16,64.00
01/01/2000,00:13:17,64.00
01/01/2000,00:13:18,64.00
01/01/2000,00:13:19,64.00
01/01/2000,00:13:20,64.00
01/01/2000,00:13:21,64.00
01/01/2000,00:13:22,64.00
01/01/2000,00:13:23,64.00
01/01/2000,00:13:24,64.00
